"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4JN3IFVF","journalArticle","2009","Emeline, Alexei V.; Sheremetyeva, Natalia V.; Khomchenko, Natalia V.; Kuzmin, Georgiy N.; Ryabchuk, Vladimir K.; Teoh, Wey Yang; Amal, Rose","Spectroscopic Studies of Pristine and Fluorinated Nano-ZrO<sub>2</sub> in Photostimulated Heterogeneous Processes","The Journal of Physical Chemistry C","","1932-7447, 1932-7455","10.1021/jp809992g","https://pubs.acs.org/doi/10.1021/jp809992g","","2009-03-19","2025-04-14 18:35:42","2025-04-14 18:35:42","2025-04-14 18:35:42","4566-4574","","11","113","","J. Phys. Chem. C","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHFAENIZ","journalArticle","2017","Caro, Tim; Walker, Hannah; Rossman, Zoe; Hendrix, Megan; Stankowich, Theodore","Why is the giant panda black and white?","Behavioral Ecology","","1045-2249, 1465-7279","10.1093/beheco/arx008","http://academic.oup.com/beheco/article/28/3/657/3058530/Why-is-the-giant-panda-black-and-white","","2017-05-01","2025-04-14 18:35:43","2025-04-14 18:35:43","2025-04-14 18:35:43","657-667","","3","28","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XUKD9WBH","journalArticle","1992","Turoscy, Rachel; Leidheiser, Henry; Roberts, James E.","Solid‐State NMR Studies of Ions in Protective Coatings: II . Lithium and Cesium Ions in Polybutadiene Coatings","Journal of The Electrochemical Society","","0013-4651, 1945-7111","10.1149/1.2069301","https://iopscience.iop.org/article/10.1149/1.2069301","","1992-03-01","2025-04-14 18:35:47","2025-04-14 18:35:47","2025-04-14 18:35:47","779-783","","3","139","","J. Electrochem. Soc.","Solid‐State NMR Studies of Ions in Protective Coatings","","","","","","","","https://iopscience.iop.org/page/copyright","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLRWY56X","journalArticle","2016","Bergom, Inger","How to learn and use your institution's student voting rates","Dean and Provost","","1527-6562, 1943-7587","10.1002/dap.30253","https://onlinelibrary.wiley.com/doi/10.1002/dap.30253","College student political engagement levels indicate how well higher education is achieving its civic mission of developing active citizens concerned with public affairs and with addressing social problems. Voting rates are a direct measure of political engagement, and free, confidential reports of student voting rates are available to institutions from the National Study of Learning, Voting, and Engagement. NSLVE has developed a database of 2012 and 2014 voting and college student enrollment data from over 8 million students across 900 colleges and universities in the U.S. In addition to being used to research political engagement in higher education, NSLVE is used to inform campuses about their students' voting rates through customized reports showing voting rates by age, class level, field of study, and, when available, gender and race/ethnicity. Soon NSLVE will include data from the 2016 presidential election, and comparisons across presidential elections will provide insights into changes over time in voting patterns.","2016-11","2025-04-14 18:35:47","2025-04-14 18:35:47","2025-04-14 18:35:47","1-6","","3","18","","Dean and Provost","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRRKTZ5G","journalArticle","2015","Gauthier, S.; Bernier, P.; Kuuluvainen, T.; Shvidenko, A. Z.; Schepaschenko, D. G.","Boreal forest health and global change","Science","","0036-8075, 1095-9203","10.1126/science.aaa9092","https://www.science.org/doi/10.1126/science.aaa9092","The boreal forest, one of the largest biomes on Earth, provides ecosystem services that benefit society at levels ranging from local to global. Currently, about two-thirds of the area covered by this biome is under some form of management, mostly for wood production. Services such as climate regulation are also provided by both the unmanaged and managed boreal forests. Although most of the boreal forests have retained the resilience to cope with current disturbances, projected environmental changes of unprecedented speed and amplitude pose a substantial threat to their health. Management options to reduce these threats are available and could be implemented, but economic incentives and a greater focus on the boreal biome in international fora are needed to support further adaptation and mitigation actions.","2015-08-21","2025-04-14 18:35:48","2025-04-14 18:35:48","2025-04-14 18:35:48","819-822","","6250","349","","Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP567YA8","journalArticle","2016","Olmedo, Andrés; Aranda, Carmen; del Río, José C.; Kiebist, Jan; Scheibner, Katrin; Martínez, Angel T.; Gutiérrez, Ana","From Alkanes to Carboxylic Acids: Terminal Oxygenation by a Fungal Peroxygenase","Angewandte Chemie International Edition","","1433-7851, 1521-3773","10.1002/anie.201605430","https://onlinelibrary.wiley.com/doi/10.1002/anie.201605430","Abstract                            A new heme–thiolate peroxidase catalyzes the hydroxylation of               n               ‐alkanes at the terminal position—a challenging reaction in organic chemistry—with H               2               O               2               as the only cosubstrate. Besides the primary product, 1‐dodecanol, the conversion of dodecane yielded dodecanoic, 12‐hydroxydodecanoic, and 1,12‐dodecanedioic acids, as identified by GC–MS. Dodecanal could be detected only in trace amounts, and 1,12‐dodecanediol was not observed, thus suggesting that dodecanoic acid is the branch point between mono‐ and diterminal hydroxylation. Simultaneously, oxygenation was observed at other hydrocarbon chain positions (preferentially C2 and C11). Similar results were observed in reactions of tetradecane. The pattern of products formed, together with data on the incorporation of               18               O from the cosubstrate H               2               18               O               2               , demonstrate that the enzyme acts as a peroxygenase that is able to catalyze a cascade of mono‐ and diterminal oxidation reactions of long‐chain               n               ‐alkanes to give carboxylic acids.","2016-09-26","2025-04-14 18:35:48","2025-04-14 18:35:48","2025-04-14 18:35:48","12248-12251","","40","55","","Angew Chem Int Ed","From Alkanes to Carboxylic Acids","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\W6JTT3LZ\Olmedo et al. - 2016 - From Alkanes to Carboxylic Acids Terminal Oxygenation by a Fungal Peroxygenase.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2DYBDG9","journalArticle","1956","Callinan, T. D.","Polymer Synthesis by Gamma Radiation","Journal of The Electrochemical Society","","00134651","10.1149/1.2430313","https://iopscience.iop.org/article/10.1149/1.2430313","","1956","2025-04-14 18:35:51","2025-04-14 18:35:51","2025-04-14 18:35:51","292","","5","103","","J. Electrochem. Soc.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\CS72RECT\Callinan - 1956 - Polymer Synthesis by Gamma Radiation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7XDJ73P","journalArticle","2005","Kavanagh, Josephine; Kelly, Anthony J; Thomas, Jane","Breast stimulation for cervical ripening and induction of labour","Cochrane Database of Systematic Reviews","","14651858","10.1002/14651858.CD003392.pub2","http://doi.wiley.com/10.1002/14651858.CD003392.pub2","","2005-07-20","2025-04-14 18:35:53","2025-04-14 18:35:53","2025-04-14 18:35:53","","","1","2010","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\SM6SKBSD\Kavanagh et al. - 2005 - Breast stimulation for cervical ripening and induction of labour.pdf","","","","Cochrane Pregnancy and Childbirth Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQF334PG","journalArticle","2015","Legates, David R.; Soon, Willie; Briggs, William M.; Monckton Of Brenchley, Christopher","Climate Consensus and ‘Misinformation’: A Rejoinder to Agnotology, Scientific Consensus, and the Teaching and Learning of Climate Change","Science & Education","","0926-7220, 1573-1901","10.1007/s11191-013-9647-9","http://link.springer.com/10.1007/s11191-013-9647-9","","2015-04","2025-04-14 18:35:56","2025-04-14 18:35:56","2025-04-14 18:35:56","299-318","","3","24","","Sci & Educ","Climate Consensus and ‘Misinformation’","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JZ6FBLQ","journalArticle","1978","Bauer, F. L.; Broy, M.; Gnatz, R.; Hesse, W.; Krieg-Brückner, B.; Partsch, H.; Pepper, P.; Wössner, H.","Towards a wide spectrum language to support program specification and program development","ACM SIGPLAN Notices","","0362-1340, 1558-1160","10.1145/954587.954588","https://dl.acm.org/doi/10.1145/954587.954588","","1978-12","2025-04-14 18:35:57","2025-04-14 18:35:57","2025-04-14 18:35:57","15-24","","12","13","","SIGPLAN Not.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
