"Timestamp","DOI","IP identifier","User identifier","Country according to GeoIP","City according to GeoIP","Latitude","Longitude"
"2017-06-26 21:46:59","10.1002/14651858.CD003392.pub2",7809386,16866302,"Canada","Boucherville","45.5913698","-73.4364097"
"2017-09-07 22:58:24","10.1080/14786430601032386",1358764,33577860,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 09:59:00","10.1021/la501330j",6039317,9158745,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 09:07:20","10.1063/1.4913415",5997924,19896736,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 08:40:56","10.1021/jp809992g",858831,9278539,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 22:11:34","10.1021/ja025109g",858831,9370108,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-16 06:15:30","10.1093/beheco/arx008",10442142,29559637,"Canada","Squamish","49.7016339","-123.1558121"
"2017-05-02 22:49:11","10.1039/C6RA18897D",6039317,9231742,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 13:26:15","10.1021/jp809992g",376168,9313207,"Canada","Toronto","43.653226","-79.3831843"
"2017-10-02 12:04:30","10.1016/S0014-2999(96)00714-5",13100367,37830103,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-04 02:00:16","10.1111/j.1365-2648.2007.04553.x",6244088,9385835,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-19 20:39:55","10.1175/JCLI-D-16-0526.1",8634265,15852148,"Canada","Richmond Hill","43.8828401","-79.4402808"
"2017-08-06 23:52:17","10.1103/PhysRevB.89.144414",5794879,27591362,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 08:57:02","10.1063/1.4913415",941416,19895221,"Canada","Toronto","43.653226","-79.3831843"
"2017-10-01 12:58:40","10.1021/jp971945e",1163627,37716654,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 13:07:57","10.1149/1.2069301",6039526,9311563,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-17 03:03:57","10.1046/j.1439-0442.2001.00393.x",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 11:30:33","10.1149/1.2069301",6040188,9299352,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 23:25:49","10.1039/C6RA18897D",6040789,9234512,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 12:18:36","10.1149/1.2069301",6040519,9305657,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-23 23:12:29","10.2979/vic.2010.52.2.337",10,2014138,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 08:52:04","10.1063/1.4942393",5999959,19894370,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 21:33:23","10.1021/cm301772p",1201085,9366155,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 06:44:51","10.1021/jp809992g",5996271,9267459,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 09:10:19","10.1063/1.4913415",645245,19897317,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 20:41:07","10.1002/anie.201605430",5994510,9360236,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 22:09:44","10.1039/C6RA18897D",6039529,9228434,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 21:34:09","10.1021/cm301772p",6040188,9366264,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 07:16:10","10.1021/jp809992g",1201085,9270300,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-12 20:23:46","10.1126/science.aaa9092",8394052,20621813,"Canada","Saguenay","48.4280529","-71.0684923"
