"date","n"
2017-01-01,2
2017-01-06,1
2017-01-11,1
2017-01-12,1
2017-01-15,1
2017-01-19,1
2017-01-20,1
2017-01-21,1
2017-01-23,16
2017-01-24,7
2017-01-25,1
2017-01-27,2
2017-01-28,1
2017-01-30,1
2017-01-31,4
2017-02-01,1
2017-02-02,1
2017-02-08,1
2017-02-09,1
2017-02-12,1
2017-02-13,2
2017-02-15,1
2017-02-16,1
2017-02-17,1
2017-02-18,2
2017-02-19,3
2017-02-22,3
2017-02-23,2
2017-02-24,2
2017-02-25,4
2017-02-26,3
2017-02-28,2
2017-03-01,6
2017-03-02,5
2017-03-03,2
2017-03-05,1
2017-03-07,2
2017-03-09,2
2017-03-10,2
2017-03-11,1
2017-03-12,6
2017-03-13,1
2017-03-14,5
2017-03-15,3
2017-03-16,1
2017-03-17,3
2017-03-20,1
2017-03-21,1
2017-03-22,1
2017-03-23,1
2017-03-24,2
2017-03-25,1
2017-03-26,14
2017-03-27,4
2017-03-29,2
2017-03-30,1
2017-04-03,1
2017-04-05,2
2017-04-06,3
2017-04-07,1
2017-04-09,2
2017-04-11,2
2017-04-15,1
2017-04-16,1
2017-04-17,1
2017-04-18,2
2017-04-19,2
2017-04-20,3
2017-04-30,3
2017-05-01,2
2017-05-02,81
2017-05-03,187
2017-05-04,11
2017-05-05,3
2017-05-06,3
2017-05-08,1
2017-05-10,3
2017-05-12,2
2017-05-13,6
2017-05-14,2
2017-05-15,4
2017-05-16,4
2017-05-17,1
2017-05-18,42
2017-05-19,2
2017-05-20,2
2017-05-21,2
2017-05-22,2
2017-05-23,3
2017-05-24,1
2017-05-26,3
2017-05-27,2
2017-05-29,1
2017-05-30,4
2017-06-01,1
2017-06-02,2
2017-06-03,3
2017-06-04,1
2017-06-05,5
2017-06-06,1
2017-06-07,9
2017-06-08,2
2017-06-09,4
2017-06-11,3
2017-06-12,1
2017-06-14,1
2017-06-15,5
2017-06-16,3
2017-06-18,4
2017-06-19,6
2017-06-20,1
2017-06-21,3
2017-06-22,4
2017-06-23,1
2017-06-24,2
2017-06-25,2
2017-06-26,3
2017-06-27,1
2017-06-28,8
2017-06-29,1
2017-07-01,3
2017-07-02,1
2017-07-03,9
2017-07-04,2
2017-07-05,1
2017-07-06,1
2017-07-07,2
2017-07-09,48
2017-07-10,1
2017-07-11,1
2017-07-12,5
2017-07-13,2
2017-07-14,1
2017-07-15,3
2017-07-16,2
2017-07-17,2
2017-07-19,1
2017-07-21,2
2017-07-22,4
2017-07-23,1
2017-07-24,3
2017-07-25,1
2017-07-26,2
2017-07-27,6
2017-07-29,2
2017-07-30,1
2017-07-31,2
2017-08-02,1
2017-08-05,1
2017-08-06,28
2017-08-07,4
2017-08-08,3
2017-08-09,4
2017-08-10,1
2017-08-11,3
2017-08-12,19
2017-08-13,2
2017-08-15,4
2017-08-16,2
2017-08-17,2
2017-08-18,1
2017-08-20,2
2017-08-21,3
2017-08-22,2
2017-08-23,3
2017-08-24,3
2017-08-25,6
2017-08-26,3
2017-08-27,1
2017-08-28,1
2017-08-29,2
2017-08-30,3
2017-08-31,1
2017-09-01,1
2017-09-03,1
2017-09-05,2
2017-09-06,2
2017-09-07,55
2017-09-08,1
2017-09-09,4
2017-09-11,5
2017-09-12,24
2017-09-13,3
2017-09-14,4
2017-09-15,1
2017-09-17,1
2017-09-18,4
2017-09-20,2
2017-09-22,2
2017-09-23,2
2017-09-24,3
2017-09-25,2
2017-09-26,1
2017-09-27,1
2017-09-29,7
2017-09-30,5
2017-10-01,11
2017-10-02,4
2017-10-03,1
2017-10-04,1
2017-10-05,1
2017-10-06,3
2017-10-31,1
2017-11-01,1
2017-11-03,3
2017-11-06,1
2017-11-08,1
2017-11-09,1
2017-11-15,2
2017-11-16,1
2017-11-18,1
2017-11-30,1
2017-12-01,1
2017-12-06,2
2017-12-07,1
