location,name,date,gate_start,gate_end,visitors,recording_method
2,RGN,2021-04-01 0:00,749,0,749,Manual
2,RGN,2021-05-01 0:00,561,0,561,Manual
2,RGN,2021-06-01 0:00,470,0,470,Manual
2,RGN,2021-07-01 0:00,693,0,693,Manual
2,RGN,2021-08-01 0:00,1182,0,1182,Manual
10,ARCS,2021-08-01 0:00,0,0,0,Manual
10,ARCS,2021-08-24 0:00,1,0,1,Manual
10,ARCS,2021-08-25 0:00,1,0,1,Manual
1,MRT,2021-09-01 0:00,47577,0,47577,Manual
2,RGN,2021-09-01 0:00,4480,0,4480,Manual
3,FTX,2021-09-01 0:00,3044,0,3044,Manual
10,ARCS,2021-09-01 0:00,3,0,3,Manual
1,MRT,2021-10-01 0:00,28264,0,28264,Manual
2,RGN,2021-10-01 0:00,3372,0,3372,Manual
3,FTX,2021-10-01 0:00,5716,0,5716,Manual
10,ARCS,2021-10-01 0:00,28,0,28,Manual
1,MRT,2021-11-01 0:00,36815,0,36815,Manual
2,RGN,2021-11-01 0:00,4517,0,4517,Manual
3,FTX,2021-11-01 0:00,5370,0,5370,Manual
10,ARCS,2021-11-01 0:00,16,0,16,Manual
1,MRT,2021-12-01 0:00,16133,0,16133,Manual
2,RGN,2021-12-01 0:00,1912,0,1912,Manual
3,FTX,2021-12-01 0:00,1410,0,1410,Manual
10,ARCS,2021-12-01 0:00,3,0,3,Manual
1,MRT,2022-01-01 0:00,0,0,0,Manual
2,RGN,2022-01-01 0:00,1452,0,1452,Manual
10,ARCS,2022-01-01 0:00,3,0,3,Manual
1,MRT,2022-02-01 0:00,26645,0,26645,Manual
2,RGN,2022-02-01 0:00,2903,0,2903,Manual
3,FTX,2022-02-01 0:00,2671,0,2671,Manual
10,ARCS,2022-02-01 0:00,20,0,20,Manual
1,MRT,2022-03-01 0:00,23516,0,23516,Manual
2,RGN,2022-03-01 0:00,3665,0,3665,Manual
3,FTX,2022-03-01 0:00,5970,0,5970,Manual
10,ARCS,2022-03-01 0:00,19,0,19,Manual
1,MRT,2022-04-01 0:00,23646,0,23646,Manual
2,RGN,2022-04-01 0:00,4972,0,4972,Manual
3,FTX,2022-04-01 0:00,5719,0,5719,Manual
10,ARCS,2022-04-01 0:00,4,0,4,Manual
1,MRT,2022-05-01 0:00,2834,0,2834,Manual
2,RGN,2022-05-01 0:00,4355,0,4355,Manual
3,FTX,2022-05-01 0:00,1546,0,1546,Manual
10,ARCS,2022-05-01 0:00,18,0,18,Manual
1,MRT,2022-06-01 0:00,12867,0,12867,Manual
2,RGN,2022-06-01 0:00,2293,0,2293,Manual
3,FTX,2022-06-01 0:00,1938,0,1938,Manual
10,ARCS,2022-06-01 0:00,3,0,3,Manual
1,MRT,2022-07-01 0:00,7013,0,7013,Manual
2,RGN,2022-07-01 0:00,1895,0,1895,Manual
3,FTX,2022-07-01 0:00,1472,0,1472,Manual
10,ARCS,2022-07-01 0:00,8,0,8,Manual
1,MRT,2022-08-01 0:00,8572,0,8572,Manual
2,RGN,2022-08-01 0:00,1062,0,1062,Manual
3,FTX,2022-08-01 0:00,1366,0,1366,Manual
10,ARCS,2022-08-01 0:00,3,0,3,Manual
1,MRT,2022-09-01 0:00,102966,0,102966,Manual
2,RGN,2022-09-01 0:00,7288,0,7288,Manual
3,FTX,2022-09-01 0:00,25795,0,25795,Manual
10,ARCS,2022-09-01 0:00,28,0,28,Manual
1,MRT,2022-10-01 0:00,82533,0,82533,Manual
2,RGN,2022-10-01 0:00,8504,0,8504,Manual
3,FTX,2022-10-01 0:00,25002,0,25002,Manual
10,ARCS,2022-10-01 0:00,38,0,38,Manual
1,MRT,2022-11-01 0:00,103728,0,103728,Manual
2,RGN,2022-11-01 0:00,11671,0,11671,Manual
3,FTX,2022-11-01 0:00,34186,0,34186,Manual
10,ARCS,2022-11-01 0:00,45,0,45,Manual
1,MRT,2022-12-01 0:00,74543,0,74543,Manual
2,RGN,2022-12-01 0:00,4021,0,4021,Manual
3,FTX,2022-12-01 0:00,22377,0,22377,Manual
10,ARCS,2022-12-01 0:00,26,0,26,Manual
1,MRT,2023-01-01 0:00,86688,0,86688,Manual
2,RGN,2023-01-01 0:00,6474,0,6474,Manual
3,FTX,2023-01-01 0:00,12801,0,12801,Manual
10,ARCS,2023-01-01 0:00,52,0,52,Manual
1,MRT,2023-02-01 0:00,76438,0,76438,Manual
2,RGN,2023-02-01 0:00,6801,0,6801,Manual
3,FTX,2023-02-01 0:00,21921,0,21921,Manual
10,ARCS,2023-02-01 0:00,98,0,98,Manual
1,MRT,2023-03-01 0:00,108338,0,108338,Manual
2,RGN,2023-03-01 0:00,7586,0,7586,Manual
3,FTX,2023-03-01 0:00,26092,0,26092,Manual
10,ARCS,2023-03-01 0:00,56,0,56,Manual
1,MRT,2023-04-01 0:00,91196,0,91196,Manual
2,RGN,2023-04-01 0:00,6934,0,6934,Manual
3,FTX,2023-04-01 0:00,25072,0,25072,Manual
10,ARCS,2023-04-01 0:00,17,0,17,Manual
1,MRT,2023-05-01 0:00,16205,0,16205,Manual
2,RGN,2023-05-01 0:00,7304,0,7304,Manual
3,FTX,2023-05-01 0:00,3062,0,3062,Manual
10,ARCS,2023-05-01 0:00,79,0,79,Manual
1,MRT,2023-06-01 0:00,14434,0,14434,Manual
2,RGN,2023-06-01 0:00,2728,0,2728,Manual
3,FTX,2023-06-01 0:00,2679,0,2679,Manual
10,ARCS,2023-06-01 0:00,17,0,17,Manual
1,MRT,2023-07-01 0:00,15679,0,15679,Manual
2,RGN,2023-07-01 0:00,2445,0,2445,Manual
3,FTX,2023-07-01 0:00,1338,0,1338,Manual
10,ARCS,2023-07-01 0:00,5,0,5,Manual
1,MRT,2023-08-01 0:00,13014,0,13014,Manual
2,RGN,2023-08-01 0:00,2514,0,2514,Manual
3,FTX,2023-08-01 0:00,2160,0,2160,Manual
10,ARCS,2023-08-01 0:00,12,0,12,Manual
1,MRT,2023-09-01 0:00,100488,0,100488,Manual
2,RGN,2023-09-01 0:00,6768,0,6768,Manual
3,FTX,2023-09-01 0:00,21864,0,21864,Manual
10,ARCS,2023-09-01 0:00,75,0,75,Manual
1,MRT,2023-10-01 0:00,191190,0,191190,Manual
2,RGN,2023-10-01 0:00,12537,0,12537,Manual
3,FTX,2023-10-01 0:00,20192,0,20192,Manual
10,ARCS,2023-10-01 0:00,113,0,113,Manual
1,MRT,2023-11-01 0:00,193597,0,193597,Manual
2,RGN,2023-11-01 0:00,14603,0,14603,Manual
3,FTX,2023-11-01 0:00,31397,0,31397,Manual
10,ARCS,2023-11-01 0:00,131,0,131,Manual
1,MRT,2023-12-01 0:00,99576,0,99576,Manual
2,RGN,2023-12-01 0:00,8443,0,8443,Manual
3,FTX,2023-12-01 0:00,21318,0,21318,Manual
1,MRT,2024-01-01 0:00,90625,0,90625,Manual
2,RGN,2024-01-01 0:00,6013,0,6013,Manual
3,FTX,2024-01-01 0:00,22882,0,22882,Manual
10,ARCS,2024-01-01 0:00,136,0,136,Manual
1,MRT,2024-02-01 0:00,96874,0,96874,Manual
2,RGN,2024-02-01 0:00,17120,0,17120,Manual
3,FTX,2024-02-01 0:00,37871,0,37871,Manual
10,ARCS,2024-02-01 0:00,103,0,103,Manual
1,MRT,2024-03-01 0:00,122947,0,122947,Manual
2,RGN,2024-03-01 0:00,9311,0,9311,Manual
3,FTX,2024-03-01 0:00,22099,0,22099,Manual
10,ARCS,2024-03-01 0:00,88,0,88,Manual
1,MRT,2024-04-01 0:00,94905,0,94905,Manual
2,RGN,2024-04-01 0:00,8534,0,8534,Manual
3,FTX,2024-04-01 0:00,25392,0,25392,Manual
10,ARCS,2024-04-01 0:00,73,0,73,Manual
